TF_name	TU_name	effect	evidence	confidence
AccB	accBC[accBp]	-	[IE,BTEI,BPP,GEA,IGI,, IE, BTEI, BPP, GEA, IGI]	STRONG
AcrR	acrAB[acrAp]	-	[APPH, GEA, IEP, IMP, IEP, ITCR, LTED, AIBSCS, BPP, GEA]	STRONG
AcrR	acrR[acrRp]	-	[AIBSCS, APIORCISFBSCS, BCE, BPP, GEA, APPH, GEA, IEP, IMP, AIBSCS, BPP, GEA]	STRONG
AcrR	flhDC[flhDp]	-	[APPH, GEA, IEP, IMP, LTED, APIORCISFBSCS, GEA]	STRONG
AcrR	marRAB[marRp]	-	[APPH, GEA, IEP, IMP, BTEI, IEP, ITCR, LTED, APIORCISFBSCS, BPP, GEA]	STRONG
AcrR	micF[micFp]	-	[APPH, GEA, IEP, IMP, BTEI, LTED, AIBSCS]	STRONG
AcrR	micF[micFp2]	-	[APPH, GEA, IEP, IMP, BTEI, LTED, AIBSCS]	STRONG
AcrR	soxR[soxRp]	-	[APPH, GEA, IEP, IMP, BTEI, APIORCISFBSCS, BPP, GEA]	STRONG
AcrR	soxS[soxSp]	-	[APIORCISFBSCS, BPP, GEA, APPH, GEA, IEP, IMP, LTED, APIORCISFBSCS, BPP, GEA]	STRONG
Ada	ada-alkB[adap]	+	[APPH, APPHINH, IDA, IMP, PM, APIORCISFBSCS, BPP, GEA, SM]	STRONG
Ada	ada-alkB[adap2]	+	[APPH, APPHINH, IDA, IMP, PM, APIORCISFBSCS, BPP, GEA, SM]	STRONG
Ada	aidB[aidBp]	+	[APPH, APPHINH, IDA, IMP, APIORCISFBSCS, BPP, GEA]	STRONG
Ada	aidB[aidBp2]	+	[APPH, APPHINH, IDA, IMP, APIORCISFBSCS, BPP, GEA]	STRONG
Ada	alkA[alkAp]	+	[APPH, APPHINH, IDA, IMP, AISGDTU, APIORCISFBSCS, BPP, GEA, SM]	STRONG
Ada	alkA[alkAp2]	+	[APPH, APPHINH, IDA, IMP, AISGDTU, APIORCISFBSCS, BPP, GEA, SM]	STRONG
AdiY	adiA[adiAp]	+	[GEA, HIFS, BTEI, BPP, GEA, IGI]	STRONG
AdiY	gadAX[gadAp]	+	[GEA, HIFS, BTEI, LTED, BPP, GEA, IGI]	STRONG
AdiY	gadAX[gadAp2]	+	[GEA, HIFS, BTEI, LTED, BPP, GEA, IGI]	STRONG
AdiY	gadBC[gadBp]	+	[GEA, HIFS, BTEI, LTED, BPP, GEA, IGI]	STRONG
AdiY	gadBC[gadBp2]	+	[GEA, HIFS, BTEI, LTED, BPP, GEA, IGI]	STRONG
AdiY	gltBDF[gltBp]	+	[GEA, HIFS, CV(LTED/PM), LTED, PM, BPP, GEA, IGI]	CONFIRMED
AdiY	gltBDF[gltBp2]	+	[GEA, HIFS, CV(LTED/PM), LTED, PM, BPP, GEA, IGI]	CONFIRMED
AgaR	agaR[agaRp]	-	[APPH, IEP, AISGDTU, APIORCISFBSCS, BPP, GEA]	STRONG
AgaR	agaSYBCDI[agaSp]	-	[APPH, IEP, ITCR, APIORCISFBSCS, BPP, GEA]	STRONG
AgaR	kbaZ-agaVWA[kbaZp]	-	[APPH, IEP, ITCR, APIORCISFBSCS, BPP, GEA]	STRONG
AidB	aidB[aidBp]	-	[BPP, GEA]	STRONG
AidB	aidB[aidBp2]	-	[BPP, GEA]	STRONG
AlaS	alaS[alaSp]	-	[LTED, BPP, GEA, SM]	STRONG
AllR	allA[allAp]	-	[AUP, IEP, BTEI, BCE, BPP, GEA, SM]	STRONG
AllR	allS[allSp]	-	[AUP, IEP, BTEI, BCE, BPP, GEA, SM]	STRONG
AllR	gcl-hyi-glxR-ybbVW-allB-ybbY-glxK[gclp]	-	[AUP, IEP, ITCR, BCE, BPP, GEA, SM]	STRONG
AllS	allDC-ylbA[allDp]	+	[ITCR, APIORCISFBSCS, BCE]	WEAK
AlsR	alsRBACE[alsRp2]	-	[AIFS, GEA, PM, BPP, GEA, IGI]	STRONG
AlsR	alsRBACE[alsRp1]	-	[AIFS, GEA, PM, BPP, GEA, IGI]	STRONG
AlsR	rpiB[rpiBp]	-	[AIFS, GEA, BTEI, BPP, GEA, IGI]	STRONG
AppY	appCBA-yccB[appCp]	+	[IE, ITCR, PM, BPP, GEA, IGI]	STRONG
AppY	appCBA-yccB[appCp2]	+	[IE, ITCR, PM, BPP, GEA, IGI]	STRONG
AppY	hyaABCDEF[hyaAp]	+	[IE, BTEI, ITCR, BPP, GEA, IGI]	STRONG
AppY	hyaABCDEF[hyaAp2]	+	[IE, BTEI, ITCR, BPP, GEA, IGI]	STRONG
AraC	araBAD[araBp]	+	[APIORCISFBSCS, BPP, GEA, SM, BCE]	STRONG
AraC	araC[araCp]	+	[APIORCISFBSCS, BPP, GEA, SM, BCE]	STRONG
AraC	araE[araEp]	+	[LTED, APIORCISFBSCS, BPP]	STRONG
AraC	araE-ygeA[araEp]	+	[LTED, APIORCISFBSCS, BPP]	STRONG
AraC	araFGH[araFp]	+	[ITCR, BPP, SM, APIORCISFBSCS, AIBSCS]	STRONG
AraC	araFGH[araFp3]	+	[ITCR, BPP, SM, AIBSCS, APIORCISFBSCS]	STRONG
AraC	araJ[araJp]	+	[APIORCISFBSCS, BPP, AIBSCS]	STRONG
AraC	xylAB[xylAp]	-	[BTEI, ITCR, BCE, GEA, APIORCISFBSCS]	WEAK
AraC	ydeNM[ydeNp]	-	[IC, ITCR, BPP, GEA, IGI]	STRONG
ArcA	aceBAK[aceBp]	-	[AIFS, APPH, GEA, PM, BPP, GEA, IGI]	STRONG
ArcA	aceEF[aceEp]	-	[AIFS, APPH, GEA, LTED, BPP, GEA, IGI]	STRONG
ArcA	aceEF[aceEp2]	-	[AIFS, APPH, GEA, LTED, BPP, GEA, IGI]	STRONG
ArcA	ackA[ackAp]	+	[AIFS, APPH, GEA, BPP, GEA, IGI]	STRONG
ArcA	acnA[acnAp2]	-	[AIFS, APPH, GEA, LTED, APIORCISFBSCS, GEA]	STRONG
