TF_ID	TF_name	gene_ID	gene_name	effect	evidence	evidence_function	confidence
ECK125328145	AaeR	ECK120004233	aaeA	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK125328145	AaeR	ECK120004232	aaeB	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK125328145	AaeR	ECK120004234	aaeX	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK125286586	AccB	ECK120000269	accB	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis],[IMP|W|Inferred from mutant phenotype]	STRONG
ECK125286586	AccB	ECK120000270	accC	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis],[IMP|W|Inferred from mutant phenotype]	STRONG
ECK120015994	AcrR	ECK120001646	acrA	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120015994	AcrR	ECK120001647	acrB	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120015994	AcrR	ECK120002020	acrR	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	STRONG
ECK120015994	AcrR	ECK120000313	flhC	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK
ECK120015994	AcrR	ECK120000314	flhD	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK
ECK120015994	AcrR	ECK120001398	marA	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120015994	AcrR	ECK120001547	marB	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120015994	AcrR	ECK120001399	marR	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120015994	AcrR	ECK120002505	micF	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK
ECK120015994	AcrR	ECK120000946	soxR	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120015994	AcrR	ECK120000947	soxS	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	STRONG
ECK120012595	Ada	ECK120000026	ada	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG
ECK120012595	Ada	ECK120000026	ada	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG
ECK120012595	Ada	ECK120001745	aidB	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012595	Ada	ECK120001200	alkA	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG
ECK120012595	Ada	ECK120000034	alkB	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG
ECK120012595	Ada	ECK120000034	alkB	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG
ECK120014170	AdiY	ECK120001457	adiA	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120014170	AdiY	ECK120002568	gadA	+	[BPP|S|Binding of purified proteins]	[]	STRONG
ECK120014170	AdiY	ECK120001446	gadB	+	[BPP|S|Binding of purified proteins]	[]	STRONG
ECK120014170	AdiY	ECK120003375	gadC	+	[BPP|S|Binding of purified proteins]	[]	STRONG
ECK120014170	AdiY	ECK120002126	gadX	+	[BPP|S|Binding of purified proteins]	[]	STRONG
ECK120014170	AdiY	ECK120000396	gltB	+	[BPP|S|Binding of purified proteins]	[]	STRONG
ECK120014170	AdiY	ECK120000397	gltD	+	[BPP|S|Binding of purified proteins]	[]	STRONG
ECK120014170	AdiY	ECK120001469	gltF	+	[BPP|S|Binding of purified proteins]	[]	STRONG
ECK120012515	AgaR	ECK120002380	agaA	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
