TFBS_ID	promoter	TF_name_10.7	TF_name_11.0.2	TU_ID_10.7	TU_name_10.7	TU_ID_11.0.2	TU_name_11.0.2	coords_10.7	coords_11.0.2	evidence_10.7	evidence_11.0.2	confidence_10.7	confidence_11.0.2
ECK120011181	fepAp	Fur	Fur	ECK120009354	fepA-entD	ECK120009354	fepA-entD	612650_612668	612650_612668	[GEA|W|Gene expression analysis],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	strong	strong
ECK120011181	fesp	Fur	Fur	ECK120009460	fes-ybdZ-entF-fepE	ECK120009460	fes-ybdZ-entF-fepE	612650_612668	612650_612668	[GEA|W|Gene expression analysis],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	strong	strong
ECK120011184	fecAp	Fur	Fur	ECK120009342	fecABCDE	ECK120009342	fecABCDE	4516744_4516762	4516744_4516762	[GEA|W|Gene expression analysis],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	strong	strong
ECK120011188	marRp	Fis	Fis	ECK120009381	marRAB	ECK120009381	marRAB	1619005_1619019	1619005_1619019	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[BPP|S|Binding of purified proteins]	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis],[SM|S|Site mutation]	strong	strong
ECK120011197	mtrp2	TyrR	TyrR	ECK120009286	mtr	ECK120009286	mtr	3305958_3305975	3305958_3305975	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis],[SM|S|Site mutation]	strong	strong
ECK120011200	tyrRp	TyrR	TyrR	ECK120009261	tyrR	ECK120009261	tyrR	1386588_1386605	1386588_1386605	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	weak	weak
ECK120011204	nrdAp	ArgP	ArgP	ECK120009240	nrdAB-yfaE	ECK120009240	nrdAB-yfaE	2344582_2344601	2344582_2344601	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator],[BPP|S|Binding of purified proteins]	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis],[IC|W|Inferred by curator]	strong	strong
ECK120011206	nrdAp	ArgP	ArgP	ECK120009240	nrdAB-yfaE	ECK120009240	nrdAB-yfaE	2344555_2344574	2344555_2344574	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator],[BPP|S|Binding of purified proteins]	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis],[IC|W|Inferred by curator]	strong	strong
ECK120011208	nrdAp	ArgP	ArgP	ECK120009240	nrdAB-yfaE	ECK120009240	nrdAB-yfaE	2344527_2344546	2344527_2344546	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator],[BPP|S|Binding of purified proteins]	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis],[IC|W|Inferred by curator]	strong	strong
ECK120011212	degPp	CpxR	CpxR	ECK120011050	degP	ECK120011050	degP	180765_180783	180765_180783	[GEA|W|Gene expression analysis],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	strong	strong
ECK120011214	srkAp	CpxR	CpxR	ECK120008918	srkA-dsbA	ECK120008918	srkA-dsbA	4042335_4042349	4042335_4042349	[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	strong	strong
ECK120011216	degPp	CpxR	CpxR	ECK120011050	degP	ECK120011050	degP	180615_180629	180615_180629	[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins]	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	strong	strong
ECK120011218	ppiAp1	CpxR	CpxR	ECK120009645	ppiA	ECK120009645	ppiA	3492375_3492389	3492375_3492389	[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	strong	strong
ECK120011226	dmsAp2	IHF	IHF	ECK120008921	dmsABC	ECK120008921	dmsABC	940850_940862	940850_940862	[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	strong	strong
ECK120011231	moaAp1	FNR	FNR	ECK120009488	moaABCDE	ECK120009488	moaABCDE	816781_816794	816781_816794	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	weak	weak
ECK120011238	ptsGp1	CRP	CRP	ECK120008923	ptsG	ECK120008923	ptsG	1157715_1157736	1157715_1157736	[GEA|W|Gene expression analysis],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	strong	strong
ECK120011242	ptsGp1	Mlc	Mlc	ECK120008923	ptsG	ECK120008923	ptsG	1157749_1157771	1157749_1157771	[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	strong	strong
ECK120011244	ptsGp2	Mlc	Mlc	ECK120008924	ptsG	ECK120008924	ptsG	1157580_1157602	1157580_1157602	[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	strong	strong
ECK120011246	grcAp1	FNR	FNR	ECK120008925	grcA	ECK120008925	grcA	2716610_2716623	2716610_2716623	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[BPP|S|Binding of purified proteins]	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis],[SM|S|Site mutation]	strong	strong
ECK120011248	grcAp1	FNR	FNR	ECK120008925	grcA	ECK120008925	grcA	2716557_2716570	2716557_2716570	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[BPP|S|Binding of purified proteins]	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis],[SM|S|Site mutation]	strong	strong
ECK120011248	grcAp1	FNR	FNR	ECK120008925	grcA	ECK120008925	grcA	2716557_2716570	2716557_2716570	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[BPP|S|Binding of purified proteins]	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis],[SM|S|Site mutation]	strong	strong
ECK120011248	grcAp1	FNR	FNR	ECK120008925	grcA	ECK120008925	grcA	2716557_2716570	2716557_2716570	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[BPP|S|Binding of purified proteins]	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis],[SM|S|Site mutation]	strong	strong
ECK120011248	grcAp1	FNR	FNR	ECK120008925	grcA	ECK120008925	grcA	2716557_2716570	2716557_2716570	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[BPP|S|Binding of purified proteins]	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis],[SM|S|Site mutation]	strong	strong
ECK120011253	nirBp	Fis	Fis	ECK120009239	nirBDC-cysG	ECK120009239	nirBDC-cysG	3493838_3493852	3493838_3493852	[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	strong	strong
ECK120011255	ihfBp	IHF	IHF	ECK120009366	ihfB	ECK120009366	ihfB	963666_963678	963666_963678	[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins]	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	strong	strong
ECK120011255	ihfBp2	NA	IHF	NA	NA	ECK125300289	ihfB	NA	963666_963678	NA	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	NA	strong
ECK120011257	ihfBp	IHF	IHF	ECK120009366	ihfB	ECK120009366	ihfB	963586_963598	963586_963598	[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins]	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	strong	strong
ECK120011257	ihfBp2	NA	IHF	NA	NA	ECK125300289	ihfB	NA	963586_963598	NA	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	NA	strong
ECK120011259	ihfBp	IHF	IHF	ECK120009366	ihfB	ECK120009366	ihfB	963536_963548	963536_963548	[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins]	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	strong	strong
ECK120011259	ihfBp2	NA	IHF	NA	NA	ECK125300289	ihfB	NA	963536_963548	NA	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	NA	strong
ECK120011261	ihfBp	IHF	IHF	ECK120009366	ihfB	ECK120009366	ihfB	963439_963451	963439_963451	[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins]	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	strong	strong
ECK120011261	ihfBp2	NA	IHF	NA	NA	ECK125300289	ihfB	NA	963439_963451	NA	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	NA	strong
