TFBS_ID	promoter	TF_name_10.7	TF_name_11.0.2	TU_ID_10.7	TU_name_10.7	TU_ID_11.0.2	TU_name_11.0.2	coords_10.7	coords_11.0.2	evidence_10.7	evidence_11.0.2	confidence_10.7	confidence_11.0.2
ECK120011255	ihfBp2	NA	IHF	NA	NA	ECK125300289	ihfB	NA	963666_963678	NA	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	NA	strong
ECK120011257	ihfBp2	NA	IHF	NA	NA	ECK125300289	ihfB	NA	963586_963598	NA	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	NA	strong
ECK120011259	ihfBp2	NA	IHF	NA	NA	ECK125300289	ihfB	NA	963536_963548	NA	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	NA	strong
ECK120011261	ihfBp2	NA	IHF	NA	NA	ECK125300289	ihfB	NA	963439_963451	NA	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	NA	strong
ECK120011263	ihfBp2	NA	IHF	NA	NA	ECK125300289	ihfB	NA	963423_963435	NA	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	NA	strong
ECK120011274	gdhAp1	Nac	NA	ECK120008942	gdhA	NA	NA	1842325_1842339	NA	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	NA	weak	NA
ECK120011274	gdhAp	NA	Nac	NA	NA	ECK120008942	gdhA	NA	1842325_1842339	NA	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	NA	weak
ECK120011276	gdhAp1	Nac	NA	ECK120008942	gdhA	NA	NA	1842276_1842290	NA	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	NA	weak	NA
ECK120011276	gdhAp	NA	Nac	NA	NA	ECK120008942	gdhA	NA	1842276_1842290	NA	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	NA	weak
ECK120011278	gdhAp1	Nac	NA	ECK120008942	gdhA	NA	NA	1842220_1842234	NA	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	NA	weak	NA
ECK120011278	gdhAp	NA	Nac	NA	NA	ECK120008942	gdhA	NA	1842220_1842234	NA	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	NA	weak
ECK120011280	gdhAp1	Nac	NA	ECK120008942	gdhA	NA	NA	1842345_1842359	NA	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	NA	weak	NA
ECK120011280	gdhAp	NA	Nac	NA	NA	ECK120008942	gdhA	NA	1842345_1842359	NA	[AIBSPD||Automated inference based on sequence pattern discovery],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CSE||ChIP-seq evidence],[GEA|W|Gene expression analysis],[RSE||RNA-seq evidence]	NA	weak
ECK120011288	rrsBp	NA	Fis	NA	NA	ECK125300381	rrsB-gltT-rrlB-rrfB	NA	4166289_4166303	NA	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	NA	strong
ECK120011290	rrsBp	NA	Fis	NA	NA	ECK125300381	rrsB-gltT-rrlB-rrfB	NA	4166258_4166272	NA	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	NA	strong
ECK120011292	rrsBp	NA	Fis	NA	NA	ECK125300381	rrsB-gltT-rrlB-rrfB	NA	4166217_4166231	NA	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	NA	strong
ECK120011296	rrsBp	NA	H-NS	NA	NA	ECK125300381	rrsB-gltT-rrlB-rrfB	NA	4166277_4166291	NA	[BPP|S|Binding of purified proteins]	NA	strong
ECK120011310	rhaSp2	NA	CRP	NA	NA	ECK125300359	rhaSR	NA	4097608_4097629	NA	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis],[SM|S|Site mutation]	NA	strong
ECK120011322	csgBp2	NA	CpxR	NA	NA	ECK125300368	csgBAC	NA	1103859_1103873	NA	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	NA	strong
ECK120011350	frdAp2	NA	DcuR	NA	NA	ECK125300393	frdABCD	NA	4382508_4382524	NA	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	NA	strong
ECK120011374	asrp2	NA	PhoB	NA	NA	ECK125300295	asr	NA	1671288_1671306	NA	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis]	NA	weak
ECK120011416	poxBp1	NA	MarA	NA	NA	ECK120011153	poxB	NA	911127_911146	NA	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	NA	weak
ECK120011416	poxBp2	NA	MarA	NA	NA	ECK125300326	poxB	NA	911127_911146	NA	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	NA	weak
ECK120011416	poxBp1	NA	SoxS	NA	NA	ECK120011153	poxB	NA	911127_911146	NA	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	NA	weak
ECK120011416	poxBp2	NA	SoxS	NA	NA	ECK125300326	poxB	NA	911127_911146	NA	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	NA	weak
ECK120011423	pqiAp3	NA	MarA	NA	NA	ECK125300382	pqiABC	NA	1011614_1011633	NA	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	NA	strong
ECK120011427	acrAp	MarA	NA	ECK120009423	acrAB	NA	NA	485761_485780	NA	[GEA|W|Gene expression analysis],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	NA	strong	NA
ECK120011427	acrAp	SoxS	NA	ECK120009423	acrAB	NA	NA	485761_485780	NA	[GEA|W|Gene expression analysis],[IHBCE|W|Inferred by a human based on computational evidence],[CEUMA||ChIP-exo evidence used in manual assertion],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[RE||RNA-seq evidence]	NA	strong	NA
ECK120011432	gabDp	NA	Nac	NA	NA	ECK125300338	gabDTP	NA	2791121_2791135	NA	[AIBSPD||Automated inference based on sequence pattern discovery],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CSE||ChIP-seq evidence],[GEA|W|Gene expression analysis],[RSE||RNA-seq evidence]	NA	weak
ECK120011519	pstSp2	NA	IHF	NA	NA	ECK125300308	pstS	NA	3911546_3911558	NA	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	NA	strong
ECK120011519	pstSp2	NA	IHF	NA	NA	ECK125300332	pstSCAB-phoU	NA	3911546_3911558	NA	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	NA	strong
ECK120011519	pstSp2	NA	IHF	NA	NA	ECK125300390	pstSCA	NA	3911546_3911558	NA	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	NA	strong
